MR ID,MR Date,Subject,ScanId,ScanType,SeriesDesc,Project,stat_mean,stat_snr,stat_stddev,AGAR_SFNR,PercentFluctuation,Drift,rdc,meanfwhmx,meanfwhmy,meanfwhmz,meanghost,meanbrightghost,driftfit,BIRN_HUMAN_MEAN,BIRN_HUMAN_SNR,BIRN_HUMAN_SFNR,BIRN_HUMAN_MEAN_MASKED_FWHMX,BIRN_HUMAN_MEAN_MASKED_FWHMY,BIRN_HUMAN_MEAN_MASKED_FWHMZ,XNAT_QCASSESSMENTDATA ID,Scanner,Subject Label
ABCD_AGAR07_20chBay2_20220806,2022-08-06,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,931.6,53.9,0.84,54.7,0.09,0.79,21.7,2.108,1.706,1.136,4.597,9.161,0.29,1178.2,76.0,73.9,2.263,1.845,1.638,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay2_20220806,2022-08-06,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1340.9,385.5,0.32,397.4,0.02,0.23,12.5,2.714,2.299,2.604,3.197,6.472,0.14,1608.4,463.0,465.6,3.086,2.74,3.582,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20221201,2022-12-01,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1136.0,391.9,0.22,381.8,0.02,0.31,16.7,2.709,2.246,2.696,2.998,5.369,0.26,1370.8,449.5,449.3,3.23,2.827,3.79,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20221201,2022-12-01,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,791.9,53.5,0.65,53.5,0.08,1.65,25.8,2.111,1.696,1.153,4.025,7.47,1.08,1005.4,75.1,73.4,2.236,1.865,1.537,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20221208,2022-12-08,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,782.6,46.3,0.9,50.7,0.12,1.34,19.0,2.111,1.713,1.147,3.766,6.852,0.8,985.3,70.5,71.0,2.308,1.887,1.703,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20221208,2022-12-08,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1121.7,388.0,0.25,371.0,0.02,0.24,14.0,2.677,2.2,2.606,3.096,5.235,0.17,1341.9,432.0,437.3,3.35,2.733,4.104,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20221216,2022-12-16,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,787.4,50.5,0.7,52.0,0.09,1.36,26.0,2.111,1.7,1.159,3.998,7.441,0.86,990.7,72.8,71.8,2.236,1.832,1.558,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20221216,2022-12-16,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1127.6,387.3,0.24,375.8,0.02,0.25,16.2,2.692,2.227,2.666,3.023,5.392,0.17,1357.0,420.3,444.5,3.463,2.931,4.407,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20230105,2023-01-05,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,793.7,55.8,0.77,53.1,0.1,1.34,21.7,2.111,1.701,1.162,3.998,7.55,0.81,996.1,76.6,72.8,2.243,1.826,1.584,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20230105,2023-01-05,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1133.8,381.1,0.23,380.3,0.02,0.2,14.1,2.68,2.204,2.617,2.993,5.31,0.15,1361.2,443.0,449.9,3.594,2.888,4.477,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20230112,2023-01-12,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,789.9,49.6,0.7,52.7,0.09,1.37,24.4,2.11,1.696,1.151,4.069,7.942,0.91,988.4,72.1,71.7,2.185,1.792,1.44,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20230112,2023-01-12,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1136.1,377.7,0.26,377.9,0.02,0.25,12.9,2.707,2.239,2.68,3.042,5.481,0.17,1354.4,435.0,441.2,3.241,2.748,3.981,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20230119,2023-01-19,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1183.2,401.9,0.23,395.7,0.02,0.23,14.7,2.688,2.208,2.629,2.949,5.307,0.18,1408.7,467.6,463.7,3.899,3.45,5.429,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_20chBay3_20230119,2023-01-19,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,830.7,56.1,0.7,55.4,0.08,1.24,25.0,2.112,1.702,1.144,3.93,7.444,0.75,1030.0,77.3,74.9,2.321,1.948,1.833,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220625,2022-06-25,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,556.5,437.3,0.13,433.6,0.02,0.25,14.4,2.95,2.515,2.933,3.531,8.118,0.18,850.2,607.4,623.8,3.307,3.045,4.053,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220625,2022-06-25,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,353.1,71.0,0.26,72.2,0.07,1.26,24.3,2.135,1.746,1.111,4.807,12.432,0.81,622.6,132.7,117.1,2.392,2.035,1.928,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220701,2022-07-01,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,524.8,413.0,0.13,409.8,0.03,0.22,14.6,2.986,2.529,3.088,3.624,8.172,0.14,865.9,635.1,624.3,3.415,3.04,4.165,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220701,2022-07-01,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,330.4,67.7,0.29,67.7,0.09,1.04,20.0,2.138,1.75,1.123,4.799,11.862,0.63,632.2,137.2,117.7,2.407,2.022,1.93,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220716,2022-07-16,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,548.4,417.2,0.12,430.2,0.02,0.26,14.7,2.954,2.497,2.93,3.644,8.577,0.17,885.8,601.4,644.4,3.327,3.011,4.044,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220716,2022-07-16,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,350.2,69.3,0.26,70.6,0.07,1.23,22.3,2.141,1.757,1.111,4.885,12.677,0.83,647.4,138.0,121.1,2.539,2.017,2.238,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220730,2022-07-30,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,515.8,397.8,0.12,405.1,0.02,0.19,15.2,2.936,2.526,2.879,3.809,9.137,0.13,876.7,671.7,643.6,3.449,3.143,4.317,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220730,2022-07-30,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,328.0,65.4,0.36,65.5,0.11,1.42,18.6,2.14,1.757,1.108,5.015,13.081,0.86,641.3,138.0,120.3,2.474,2.012,2.078,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220806,2022-08-06,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,363.5,80.2,0.38,80.5,0.1,1.67,14.7,2.148,1.83,1.142,5.062,13.065,1.29,632.9,145.3,124.6,2.892,2.219,2.869,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay2_20220806,2022-08-06,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,562.7,462.1,0.13,446.9,0.02,0.25,13.3,3.033,2.818,3.012,3.851,10.004,0.19,867.6,629.4,636.5,3.718,3.265,4.506,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20221201,2022-12-01,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,307.2,70.5,0.24,71.4,0.08,1.38,22.4,2.133,1.745,1.128,4.171,9.742,1.03,522.6,129.7,113.0,2.439,2.04,2.069,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20221201,2022-12-01,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,484.1,424.6,0.17,420.5,0.03,0.36,9.7,2.841,2.432,2.972,3.293,6.553,0.24,706.4,611.2,585.3,3.681,3.002,4.794,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20221208,2022-12-08,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,299.6,67.7,0.25,69.8,0.08,1.58,22.7,2.132,1.747,1.141,4.183,9.862,1.22,501.8,124.1,111.0,2.302,2.024,1.647,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20221208,2022-12-08,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,476.0,423.2,0.16,419.2,0.03,0.36,10.6,2.801,2.411,2.934,3.279,6.458,0.25,675.6,566.6,573.7,3.368,2.814,4.328,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20221216,2022-12-16,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,300.6,72.3,0.25,70.0,0.08,1.48,22.3,2.132,1.743,1.138,4.225,9.916,1.22,525.1,128.1,112.1,2.296,2.005,1.746,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20221216,2022-12-16,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,479.2,427.7,0.16,414.1,0.03,0.35,11.5,2.836,2.435,2.911,3.365,6.785,0.27,710.9,577.4,580.9,3.348,3.197,4.556,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20230105,2023-01-05,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,308.9,71.7,0.26,72.3,0.08,1.62,20.1,2.134,1.744,1.126,4.195,10.003,1.17,535.4,130.4,114.1,2.43,2.137,2.138,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20230105,2023-01-05,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,486.1,418.5,0.16,418.0,0.03,0.36,9.2,2.851,2.458,2.936,3.29,6.612,0.23,726.3,614.4,594.2,3.631,3.359,5.181,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20230112,2023-01-12,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,463.3,418.1,0.17,403.3,0.04,0.32,8.5,2.825,2.423,2.94,3.404,6.769,0.24,689.5,569.8,573.6,3.172,2.769,3.846,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20230112,2023-01-12,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,291.5,64.5,0.24,67.2,0.08,1.99,21.9,2.132,1.746,1.127,4.306,10.112,1.37,509.1,125.6,110.2,2.358,2.03,1.84,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20230119,2023-01-19,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,319.3,71.7,0.25,75.1,0.08,1.59,19.7,2.136,1.748,1.118,4.085,9.189,1.21,549.4,132.0,117.1,2.416,2.064,2.043,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_32chBay3_20230119,2023-01-19,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,501.5,434.6,0.17,433.5,0.03,0.36,9.9,2.878,2.484,3.05,3.253,6.578,0.23,741.3,628.4,604.7,3.599,3.179,4.88,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay2_20220701,2022-07-01,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,645.1,69.2,0.56,70.6,0.09,1.71,21.1,2.143,1.757,1.11,4.832,11.702,1.16,1419.6,156.0,130.2,2.581,2.158,2.333,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_64chBay2_20220701,2022-07-01,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1068.2,453.1,0.2,428.1,0.02,0.34,20.2,2.946,2.503,3.005,3.724,7.574,0.29,1754.1,691.0,5.870360201E8,3.8,3.486,4.893,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_64chBay2_20220730,2022-07-30,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1003.0,417.7,0.18,429.2,0.02,0.28,21.9,2.912,2.487,2.943,3.986,8.475,0.24,1646.8,684.1,5.7895663E7,3.575,3.424,4.642,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_64chBay2_20220730,2022-07-30,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,611.6,68.9,0.47,70.1,0.08,1.76,23.5,2.141,1.761,1.091,5.17,12.962,1.3,1242.0,147.2,124.6,2.47,2.007,2.079,,AWP166038,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20221201,2022-12-01,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,982.4,419.1,0.21,430.1,0.02,0.36,15.9,2.959,2.6,3.198,3.765,7.07,0.3,1589.2,633.8,3.82747969E7,4.122,3.536,5.367,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20221201,2022-12-01,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,598.8,70.6,0.4,71.4,0.07,2.07,25.6,2.17,1.804,1.29,4.625,10.847,1.7,1214.4,146.7,126.5,2.547,2.196,2.405,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20221208,2022-12-08,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,541.8,68.3,0.52,68.8,0.1,1.84,18.8,2.175,1.801,1.276,4.858,11.221,1.39,1196.5,151.1,128.7,2.464,2.122,2.161,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20221208,2022-12-08,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,890.8,403.4,0.24,405.7,0.03,0.32,13.4,3.504,3.188,4.085,3.973,7.435,0.28,1548.6,691.0,6.17091098E7,4.403,3.922,5.35,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20221216,2022-12-16,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,943.6,391.8,0.17,411.2,0.02,0.33,22.5,2.847,2.446,3.01,3.755,7.238,0.31,1557.6,614.3,1.171064456E8,4.163,3.93,5.355,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20221216,2022-12-16,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,575.6,68.8,0.44,68.8,0.08,1.65,24.3,2.139,1.758,1.153,4.649,11.239,1.27,1226.7,152.9,125.8,2.516,2.329,2.394,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20230105,2023-01-05,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,996.0,349.4,0.96,395.8,0.1,0.71,3.4,4.392,4.1,4.26,3.718,7.019,0.28,1591.5,432.8,1.9298932E7,5.07,4.575,5.301,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20230105,2023-01-05,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,602.6,74.7,0.48,71.8,0.08,2.12,22.5,2.146,1.767,1.193,4.632,11.303,1.74,1178.4,144.2,121.4,2.497,2.235,2.332,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20230112,2023-01-12,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,933.6,430.5,0.19,413.1,0.02,0.44,18.9,2.831,2.408,2.96,3.757,7.32,0.42,1566.2,654.0,1.381151036E8,4.168,3.833,5.27,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20230112,2023-01-12,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,576.1,71.0,0.43,69.5,0.08,2.49,22.7,2.146,1.769,1.183,4.649,11.334,2.14,1245.1,155.0,127.7,2.533,2.29,2.359,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20230119,2023-01-19,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1008.8,459.9,0.18,443.2,0.02,0.43,18.5,2.834,2.417,2.974,3.675,6.953,0.42,1580.9,687.5,660.7,3.796,3.131,4.851,,MRC35177,AGAR_ABCD07
ABCD_AGAR07_64chBay3_20230119,2023-01-19,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,618.3,75.1,0.46,74.3,0.07,1.79,22.9,2.136,1.752,1.16,4.55,10.971,1.53,1189.6,147.7,124.0,2.376,2.09,2.006,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170222,2017-02-22,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1117.8,364.0,0.23,373.9,0.02,0.35,14.0,2.708,2.211,2.637,2.855,5.007,0.29,1353.4,430.5,444.1,3.1,2.517,3.634,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170222,2017-02-22,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,777.2,51.6,0.67,50.6,0.09,1.09,25.9,2.113,1.704,1.164,3.948,7.365,0.62,985.5,72.4,70.8,2.176,1.796,1.377,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170328,2017-03-28,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1128.3,367.8,0.25,376.7,0.02,0.28,13.5,2.71,2.223,2.682,2.711,4.62,0.21,1354.3,440.7,443.7,3.136,2.661,3.801,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170328,2017-03-28,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,785.9,50.5,0.64,51.5,0.08,0.95,27.7,2.111,1.703,1.169,3.775,6.919,0.6,989.7,71.8,71.4,2.189,1.806,1.443,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170419,2017-04-19,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,768.5,49.7,0.68,51.3,0.09,1.18,25.9,2.111,1.7,1.17,3.774,6.864,0.66,971.8,71.8,71.4,2.224,1.871,1.515,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170419,2017-04-19,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1104.5,371.6,0.24,374.2,0.02,0.33,14.1,2.711,2.225,2.739,2.688,4.526,0.22,1330.0,444.9,440.7,3.568,3.227,4.343,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170427,2017-04-27,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1124.8,377.3,0.26,377.9,0.02,0.25,14.3,2.706,2.222,2.643,2.751,4.663,0.18,1361.7,444.8,447.4,3.318,2.821,4.191,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170427,2017-04-27,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,772.9,52.3,0.68,52.0,0.09,0.81,24.1,2.111,1.695,1.148,3.82,7.1,0.41,990.2,73.1,72.2,2.178,1.788,1.415,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170509,2017-05-09,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,794.1,54.1,0.68,52.7,0.09,0.89,22.7,2.113,1.702,1.164,3.824,7.137,0.51,997.0,75.8,72.3,2.182,1.81,1.42,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170509,2017-05-09,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1138.0,380.1,0.24,381.9,0.02,0.22,13.7,2.708,2.223,2.669,2.715,4.587,0.14,1361.2,439.5,448.4,3.367,2.766,4.109,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170526,2017-05-26,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1102.1,358.0,0.23,364.6,0.02,0.26,13.9,2.717,2.226,2.715,2.749,4.651,0.18,1343.6,425.8,436.1,3.025,2.498,3.447,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170526,2017-05-26,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,763.2,49.8,0.71,49.5,0.09,0.93,25.7,2.111,1.703,1.167,3.86,7.24,0.42,979.7,71.5,69.9,2.172,1.81,1.433,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170607,2017-06-07,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,809.6,52.1,0.71,52.4,0.09,1.02,24.3,2.114,1.704,1.166,3.692,6.875,0.5,1013.4,76.5,73.3,2.193,1.801,1.458,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170607,2017-06-07,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1154.8,390.1,0.19,389.1,0.02,0.21,18.1,2.706,2.2,2.695,2.638,4.501,0.16,1391.8,465.4,460.0,3.197,2.601,3.79,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170710,2017-07-10,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1168.4,395.8,0.21,390.3,0.02,0.33,17.1,2.686,2.197,2.675,2.657,4.575,0.23,1414.4,463.8,462.9,3.417,2.701,4.211,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20ch_20170710,2017-07-10,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,812.4,51.2,0.75,52.0,0.09,1.06,24.7,2.115,1.709,1.16,3.745,7.076,0.59,1028.3,73.9,72.6,2.207,1.82,1.489,,MRC35177,AGAR_ABCD07
AGAR_ABCD07_20chBay1_20201018,2021-02-18,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,840.1,49.8,0.73,51.0,0.09,1.11,25.7,2.102,1.689,1.142,4.368,8.276,0.62,1054.2,70.7,69.9,2.437,1.929,1.937,,AWP166158,AGAR_ABCD07
AGAR_ABCD07_20chBay1_20201018,2021-02-18,HCPIntradb_S04439,10,fMRI,FBIRN_QA_fMRI_flip77,Prisma_QC,1211.9,370.9,0.24,368.9,0.02,0.12,17.0,2.635,2.159,2.519,3.431,6.686,0.06,1452.0,435.7,437.7,4.771,3.555,6.355,,AWP166158,AGAR_ABCD07
AGAR_ABCD07_20chBay1_20201023,2021-09-23,HCPIntradb_S04439,8,fMRI,ABCD_QA_fMRI,Prisma_QC,859.3,52.2,0.74,52.2,0.09,0.95,25.4,2.104,1.688,1.183,4.431,8.542,0.61,1087.8,72.4,71.1,2.295,1.927,1.656,,AWP166158,AGAR_ABCD07
